INFO - main.py - 2024-12-08 15:28:46,677 - Using device: cuda:1
INFO - main.py - 2024-12-08 15:28:46,678 - Writing log file to run/logs/0
INFO - main.py - 2024-12-08 15:28:46,679 - Exp instance id = 178228
INFO - main.py - 2024-12-08 15:28:46,679 - Exp comment = 
INFO - main.py - 2024-12-08 15:28:46,679 - Config =
INFO - anneal_runner.py - 2024-12-08 15:30:08,319 - step: 85, loss: 185.02694702148438
INFO - anneal_runner.py - 2024-12-08 15:30:09,212 - step: 86, loss: 167.19435119628906
INFO - anneal_runner.py - 2024-12-08 15:30:10,103 - step: 87, loss: 190.89076232910156
INFO - anneal_runner.py - 2024-12-08 15:30:10,987 - step: 88, loss: 165.2985382080078
INFO - anneal_runner.py - 2024-12-08 15:30:11,877 - step: 89, loss: 188.33477783203125
INFO - anneal_runner.py - 2024-12-08 15:30:12,767 - step: 90, loss: 181.29168701171875
INFO - anneal_runner.py - 2024-12-08 15:30:13,658 - step: 91, loss: 171.92486572265625
INFO - anneal_runner.py - 2024-12-08 15:30:14,547 - step: 92, loss: 172.13067626953125
INFO - anneal_runner.py - 2024-12-08 15:30:15,439 - step: 93, loss: 170.7262725830078
INFO - anneal_runner.py - 2024-12-08 15:30:16,330 - step: 94, loss: 186.02911376953125
INFO - anneal_runner.py - 2024-12-08 15:30:17,216 - step: 95, loss: 148.47409057617188
INFO - anneal_runner.py - 2024-12-08 15:30:18,114 - step: 96, loss: 177.50619506835938
INFO - anneal_runner.py - 2024-12-08 15:30:19,010 - step: 97, loss: 193.91207885742188
INFO - anneal_runner.py - 2024-12-08 15:30:19,896 - step: 98, loss: 174.3044891357422
INFO - anneal_runner.py - 2024-12-08 15:30:20,780 - step: 99, loss: 148.21658325195312
INFO - anneal_runner.py - 2024-12-08 15:30:21,667 - step: 100, loss: 173.96475219726562
INFO - anneal_runner.py - 2024-12-08 15:30:22,901 - step: 101, loss: 171.54171752929688
INFO - anneal_runner.py - 2024-12-08 15:30:23,786 - step: 102, loss: 196.37742614746094
INFO - anneal_runner.py - 2024-12-08 15:30:24,678 - step: 103, loss: 172.9016876220703
INFO - anneal_runner.py - 2024-12-08 15:30:25,564 - step: 104, loss: 169.47561645507812
INFO - anneal_runner.py - 2024-12-08 15:30:26,454 - step: 105, loss: 143.46527099609375
INFO - anneal_runner.py - 2024-12-08 15:30:27,342 - step: 106, loss: 169.19590759277344
INFO - anneal_runner.py - 2024-12-08 15:30:28,231 - step: 107, loss: 168.01361083984375
INFO - anneal_runner.py - 2024-12-08 15:30:29,116 - step: 108, loss: 174.42022705078125
INFO - anneal_runner.py - 2024-12-08 15:30:30,006 - step: 109, loss: 164.9520721435547
INFO - anneal_runner.py - 2024-12-08 15:30:30,903 - step: 110, loss: 176.00857543945312
INFO - anneal_runner.py - 2024-12-08 15:30:31,792 - step: 111, loss: 159.50289916992188
INFO - anneal_runner.py - 2024-12-08 15:30:32,681 - step: 112, loss: 159.1595458984375
INFO - anneal_runner.py - 2024-12-08 15:30:33,574 - step: 113, loss: 156.05975341796875
INFO - anneal_runner.py - 2024-12-08 15:30:34,460 - step: 114, loss: 180.72274780273438
INFO - anneal_runner.py - 2024-12-08 15:30:35,346 - step: 115, loss: 160.29827880859375
INFO - anneal_runner.py - 2024-12-08 15:30:36,226 - step: 116, loss: 164.50473022460938
INFO - anneal_runner.py - 2024-12-08 15:30:37,110 - step: 117, loss: 155.99871826171875
INFO - anneal_runner.py - 2024-12-08 15:30:38,001 - step: 118, loss: 156.9412384033203
INFO - anneal_runner.py - 2024-12-08 15:30:38,887 - step: 119, loss: 171.67843627929688
INFO - anneal_runner.py - 2024-12-08 15:30:39,777 - step: 120, loss: 152.48971557617188
INFO - anneal_runner.py - 2024-12-08 15:30:40,668 - step: 121, loss: 172.70516967773438
INFO - anneal_runner.py - 2024-12-08 15:30:41,555 - step: 122, loss: 161.56385803222656
INFO - anneal_runner.py - 2024-12-08 15:30:42,445 - step: 123, loss: 148.64813232421875
INFO - anneal_runner.py - 2024-12-08 15:30:43,337 - step: 124, loss: 160.54275512695312
INFO - anneal_runner.py - 2024-12-08 15:30:44,227 - step: 125, loss: 163.8311004638672
INFO - anneal_runner.py - 2024-12-08 15:30:45,117 - step: 126, loss: 158.2208251953125
INFO - anneal_runner.py - 2024-12-08 15:30:46,002 - step: 127, loss: 154.61724853515625
INFO - anneal_runner.py - 2024-12-08 15:30:46,888 - step: 128, loss: 147.730224609375
INFO - anneal_runner.py - 2024-12-08 15:30:47,770 - step: 129, loss: 144.52413940429688
INFO - anneal_runner.py - 2024-12-08 15:30:48,657 - step: 130, loss: 150.34494018554688
INFO - anneal_runner.py - 2024-12-08 15:30:49,544 - step: 131, loss: 154.66690063476562
INFO - anneal_runner.py - 2024-12-08 15:30:50,433 - step: 132, loss: 151.21292114257812
INFO - anneal_runner.py - 2024-12-08 15:30:51,328 - step: 133, loss: 148.30972290039062
INFO - anneal_runner.py - 2024-12-08 15:30:52,220 - step: 134, loss: 158.87646484375
INFO - anneal_runner.py - 2024-12-08 15:30:53,102 - step: 135, loss: 144.08018493652344
INFO - anneal_runner.py - 2024-12-08 15:30:53,989 - step: 136, loss: 146.68728637695312
INFO - anneal_runner.py - 2024-12-08 15:30:54,872 - step: 137, loss: 125.04073333740234
INFO - anneal_runner.py - 2024-12-08 15:30:55,758 - step: 138, loss: 171.89273071289062
INFO - anneal_runner.py - 2024-12-08 15:30:56,643 - step: 139, loss: 125.9341812133789
INFO - anneal_runner.py - 2024-12-08 15:30:57,533 - step: 140, loss: 141.69918823242188
INFO - anneal_runner.py - 2024-12-08 15:30:58,422 - step: 141, loss: 173.4851837158203
