INFO - main.py - 2024-12-08 15:52:17,661 - Using device: cuda:1
INFO - main.py - 2024-12-08 15:52:17,662 - Writing log file to run/logs/tenepochs
INFO - main.py - 2024-12-08 15:52:17,662 - Exp instance id = 182172
INFO - main.py - 2024-12-08 15:52:17,662 - Exp comment = 
INFO - main.py - 2024-12-08 15:52:17,663 - Config =
INFO - anneal_runner.py - 2024-12-08 15:54:36,004 - step: 144, loss: 147.63548278808594
INFO - anneal_runner.py - 2024-12-08 15:54:36,918 - step: 145, loss: 147.27394104003906
INFO - anneal_runner.py - 2024-12-08 15:54:37,834 - step: 146, loss: 154.188720703125
INFO - anneal_runner.py - 2024-12-08 15:54:38,746 - step: 147, loss: 135.48745727539062
INFO - anneal_runner.py - 2024-12-08 15:54:39,663 - step: 148, loss: 153.63034057617188
INFO - anneal_runner.py - 2024-12-08 15:54:40,577 - step: 149, loss: 148.0332489013672
INFO - anneal_runner.py - 2024-12-08 15:54:41,497 - step: 150, loss: 140.72634887695312
INFO - anneal_runner.py - 2024-12-08 15:54:42,417 - step: 151, loss: 144.7642059326172
INFO - anneal_runner.py - 2024-12-08 15:54:43,332 - step: 152, loss: 146.820556640625
INFO - anneal_runner.py - 2024-12-08 15:54:44,244 - step: 153, loss: 136.13320922851562
INFO - anneal_runner.py - 2024-12-08 15:54:45,161 - step: 154, loss: 149.05287170410156
INFO - anneal_runner.py - 2024-12-08 15:54:46,071 - step: 155, loss: 147.99761962890625
INFO - anneal_runner.py - 2024-12-08 15:54:46,987 - step: 156, loss: 137.31802368164062
INFO - anneal_runner.py - 2024-12-08 15:54:47,904 - step: 157, loss: 142.2949676513672
INFO - anneal_runner.py - 2024-12-08 15:54:48,823 - step: 158, loss: 174.29721069335938
INFO - anneal_runner.py - 2024-12-08 15:54:49,745 - step: 159, loss: 153.4254150390625
INFO - anneal_runner.py - 2024-12-08 15:54:50,661 - step: 160, loss: 134.27500915527344
INFO - anneal_runner.py - 2024-12-08 15:54:51,583 - step: 161, loss: 144.88291931152344
